The model has 10,065,853 trainable parameters
	 Val. Loss: 5.790 |  Val. PPL: 326.976
Epoch: 46 | Time: 0m 24s
	Train Loss: 0.081 | Train PPL: 1.084
	 Val. Loss: 5.863 |  Val. PPL: 351.770
Epoch: 47 | Time: 0m 24s
	Train Loss: 0.075 | Train PPL: 1.078
	 Val. Loss: 6.029 |  Val. PPL: 415.428
Epoch: 48 | Time: 0m 24s
	Train Loss: 0.085 | Train PPL: 1.089
	 Val. Loss: 6.013 |  Val. PPL: 408.583
Epoch: 49 | Time: 0m 24s
	Train Loss: 0.135 | Train PPL: 1.144
	 Val. Loss: 5.891 |  Val. PPL: 361.754
Epoch: 50 | Time: 0m 24s
	Train Loss: 0.216 | Train PPL: 1.241
	 Val. Loss: 5.848 |  Val. PPL: 346.689
