The model has 70,992,317 trainable parameters
	 Val. Loss: 6.387 |  Val. PPL: 594.179
Epoch: 46 | Time: 1m 47s
	Train Loss: 0.053 | Train PPL: 1.055
	 Val. Loss: 6.455 |  Val. PPL: 635.622
Epoch: 47 | Time: 1m 47s
	Train Loss: 0.053 | Train PPL: 1.054
	 Val. Loss: 6.407 |  Val. PPL: 605.844
Epoch: 48 | Time: 1m 47s
	Train Loss: 0.053 | Train PPL: 1.054
	 Val. Loss: 6.471 |  Val. PPL: 646.335
Epoch: 49 | Time: 1m 47s
	Train Loss: 0.056 | Train PPL: 1.057
	 Val. Loss: 6.519 |  Val. PPL: 678.073
Epoch: 50 | Time: 1m 47s
	Train Loss: 0.085 | Train PPL: 1.089
	 Val. Loss: 6.303 |  Val. PPL: 546.177
